sketch_filename,description
00001fb010_930831.jpg,"Big_Nose, Eyeglasses, Male, No_Beard, Wearing_Necktie"
00002fa010_930831.jpg,"Bags_Under_Eyes, Big_Nose, Male, Mouth_Slightly_Open, No_Beard, Young"
00003fa010_930831.jpg,"Big_Nose, Black_Hair, Eyeglasses, Male, Young"
00004fb010_930831.jpg,"Bags_Under_Eyes, Big_Nose, Male, No_Beard"
00005fa010_930831.jpg,"Bags_Under_Eyes, Big_Nose, Male, No_Beard"
00006fb010_930831.jpg,"Big_Nose, Male, Mouth_Slightly_Open, No_Beard, Wearing_Hat"
00007fb010_930831.jpg,"Big_Nose, Eyeglasses, Male, No_Beard"
00008fa010_930831.jpg,"Big_Nose, Eyeglasses, Male, No_Beard, Wearing_Hat, Young"
00009fb010_930831.jpg,"5_o_Clock_Shadow, Big_Nose, Eyeglasses, Male, No_Beard, Young"
00010fb010_930831.jpg,"5_o_Clock_Shadow, Big_Nose, Male, Mouth_Slightly_Open, Young"
00012fb010_930831.jpg,"Bangs, Big_Nose, Male, No_Beard, Young"
00013fb010_930831.jpg,"Arched_Eyebrows, Big_Nose, High_Cheekbones, Mouth_Slightly_Open, No_Beard, Smiling, Wavy_Hair, Wearing_Lipstick, Young"
00014fa010_930831.jpg,"Bags_Under_Eyes, Big_Nose, Chubby, Double_Chin, Male, Mouth_Slightly_Open, No_Beard, Wearing_Necktie"
00015fa010_930831.jpg,"Big_Nose, Male, No_Beard, Pale_Skin, Young"
00016fb010_930831.jpg,"Bags_Under_Eyes, Big_Nose, Male, No_Beard, Young"
00017fa010_930831.jpg,"Big_Nose, Male, No_Beard, Young"
00018fa010_930831.jpg,"Bangs, Big_Nose, High_Cheekbones, No_Beard, Smiling, Wavy_Hair, Wearing_Lipstick, Young"
00019fa010_930831.jpg,"Bags_Under_Eyes, Big_Nose, Chubby, Double_Chin, High_Cheekbones, Male, Mouth_Slightly_Open, No_Beard, Smiling"
00020fa010_930831.jpg,"Bangs, Male, Mouth_Slightly_Open, No_Beard, Young"
00021fb010_930831.jpg,"Bags_Under_Eyes, Bangs, Big_Nose, Male, No_Beard, Wavy_Hair"
00022fa010_930831.jpg,"Big_Nose, Black_Hair, Male, No_Beard, Young"
00023fa010_930831.jpg,"Bags_Under_Eyes, Big_Nose, Male, No_Beard, Pale_Skin, Wearing_Necktie"
00024fa010_930831.jpg,"Attractive, Bags_Under_Eyes, Big_Nose, Male, No_Beard, Young"
00025fa010_930831.jpg,"5_o_Clock_Shadow, Bags_Under_Eyes, Big_Nose, Male, Mouth_Slightly_Open, No_Beard, Smiling, Young"
00026fa010_930831.jpg,"Bangs, Big_Nose, Male, No_Beard, Wavy_Hair, Young"
00027fa010_930831.jpg,"Bangs, Big_Nose, High_Cheekbones, Mouth_Slightly_Open, No_Beard, Smiling, Wearing_Lipstick"
00028fb010_930831.jpg,"5_o_Clock_Shadow, Bags_Under_Eyes, Big_Nose, Bushy_Eyebrows, Male, Young"
00029fa010_930831.jpg,"Bangs, Big_Nose, Black_Hair, Male, No_Beard, Young"
00030fa010_930831.jpg,"Big_Nose, Eyeglasses, Male, No_Beard, Young"
00031fa010_930831.jpg,"Bags_Under_Eyes, Big_Nose, Eyeglasses, Male, Mouth_Slightly_Open, No_Beard"
00032fa010_930831.jpg,"Bangs, Big_Nose, Eyeglasses, Mouth_Slightly_Open, No_Beard, Smiling"
00033fa010_930831.jpg,"Arched_Eyebrows, Bangs, Big_Nose, No_Beard, Wavy_Hair, Wearing_Lipstick, Wearing_Necklace"
00034fb010_930831.jpg,"Big_Nose, Eyeglasses, Male, No_Beard, Wearing_Necktie"
00035fb010_930831.jpg,"Big_Nose, Male, No_Beard, Wearing_Hat, Young"
00036fa010_930831.jpg,"Bags_Under_Eyes, Big_Nose, Eyeglasses, Male, No_Beard, Young"
00037fa010_930831.jpg,"Big_Nose, Eyeglasses, Male, No_Beard, Wearing_Necktie"
00038fa010_930831.jpg,"5_o_Clock_Shadow, Bags_Under_Eyes, Big_Nose, Bushy_Eyebrows, Male, Young"
00039fa010_930831.jpg,"Big_Nose, Black_Hair, Bushy_Eyebrows, Male, Mouth_Slightly_Open, No_Beard, Young"
00040fa010_930831.jpg,"Arched_Eyebrows, Heavy_Makeup, No_Beard, Wearing_Lipstick, Young"
00041fb010_930831.jpg,"Bangs, Big_Nose, No_Beard, Wavy_Hair"
00042fa010_930831.jpg,"Bags_Under_Eyes, Big_Nose, Chubby, Double_Chin, Male, Mouth_Slightly_Open, Smiling"
00043fb001d_931230.jpg,"Big_Nose, Black_Hair, Male, No_Beard, Wavy_Hair, Young"
00044fa001d_931230.jpg,"Bangs, Male, No_Beard, Young"
00045fa001d_931230.jpg,"Bangs, Big_Nose, Black_Hair, Eyeglasses, Male, No_Beard, Straight_Hair, Young"
00046fa001d_931230.jpg,"Black_Hair, Male, No_Beard, Straight_Hair, Young"
00047fa001d_931230.jpg,"No_Beard, Young"
00048fa001d_931230.jpg,"5_o_Clock_Shadow, Big_Nose, Eyeglasses, Male, No_Beard, Young"
00049fa001d_931230.jpg,"Male, No_Beard, Young"
00050fa001d_931230.jpg,"Male, No_Beard, Straight_Hair, Young"
00051fa001d_931230.jpg,"Big_Nose, Black_Hair, Male, No_Beard, Young"
00052fa001d_931230.jpg,"Male, No_Beard, Young"
00053fb001d_931230.jpg,"Bangs, Big_Nose, No_Beard, Wavy_Hair, Young"
00054fa001d_931230.jpg,"Big_Nose, Eyeglasses, Male, No_Beard, Wearing_Necktie, Young"
00055fa001d_931230.jpg,"Big_Nose, Black_Hair, Eyeglasses, Male, No_Beard, Young"
00056fa001d_931230.jpg,"Bags_Under_Eyes, Big_Nose, Male, No_Beard, Young"
